English	yes	lib
abbrev	unresolved	none
base64	unresolved	none
benchmark	unresolved	none
bigdecimal	unresolved	none
bigdecimal/jacobian	unresolved	none
bigdecimal/ludcmp	unresolved	none
bigdecimal/math	unresolved	none
bigdecimal/newton	unresolved	none
bigdecimal/util	unresolved	none
cgi	yes	lib
cgi/cookie	unresolved	none
cgi/core	unresolved	none
cgi/html	unresolved	none
cgi/session	unresolved	none
cgi/session/pstore	unresolved	none
cgi/util	yes	lib
continuation	yes	ext
coverage	yes	ext
csv	unresolved	none
date	yes	ext
delegate	yes	lib
did_you_mean	yes	lib
digest	yes	ext
digest/bubblebabble	yes	ext
digest/md5	yes	ext
digest/rmd160	yes	ext
digest/sha1	yes	ext
digest/sha2	yes	ext
drb	unresolved	none
drb/acl	unresolved	none
drb/extserv	unresolved	none
drb/extservm	unresolved	none
drb/gw	unresolved	none
drb/observer	unresolved	none
drb/ssl	unresolved	none
drb/timeridconv	unresolved	none
drb/unix	unresolved	none
erb	yes	lib
etc	yes	ext
expect	yes	ext
fcntl	yes	ext
fiddle	unresolved	none
fiddle/import	unresolved	none
fiddle/types	unresolved	none
fileutils	yes	lib
find	yes	lib
forwardable	yes	lib
getoptlong	unresolved	none
io/console	yes	ext
io/console/size	unresolved	none
io/nonblock	yes	ext
io/wait	yes	ext
ipaddr	yes	lib
irb	unresolved	none
irb/cmd/nop	unresolved	none
irb/color	unresolved	none
irb/completion	unresolved	none
irb/context	unresolved	none
irb/debug	unresolved	none
irb/default_commands	unresolved	none
irb/easter-egg	unresolved	none
irb/ext/change-ws	unresolved	none
irb/ext/eval_history	unresolved	none
irb/ext/loader	unresolved	none
irb/ext/multi-irb	unresolved	none
irb/ext/tracer	unresolved	none
irb/ext/use-loader	unresolved	none
irb/ext/workspaces	unresolved	none
irb/frame	unresolved	none
irb/help	unresolved	none
irb/history	unresolved	none
irb/init	unresolved	none
irb/input-method	unresolved	none
irb/inspector	unresolved	none
irb/locale	unresolved	none
irb/notifier	unresolved	none
irb/output-method	unresolved	none
irb/pager	unresolved	none
irb/ruby-lex	unresolved	none
irb/startup_message	unresolved	none
irb/statement	unresolved	none
irb/version	unresolved	none
irb/workspace	unresolved	none
irb/ws-for-case-2	unresolved	none
irb/xmp	unresolved	none
json	yes	ext
json/add/bigdecimal	unresolved	none
json/add/complex	unresolved	none
json/add/core	unresolved	none
json/add/date	unresolved	none
json/add/date_time	unresolved	none
json/add/exception	unresolved	none
json/add/ostruct	unresolved	none
json/add/range	unresolved	none
json/add/rational	unresolved	none
json/add/regexp	unresolved	none
json/add/struct	unresolved	none
json/add/symbol	unresolved	none
json/add/time	unresolved	none
json/editor	unresolved	none
kconv	unresolved	none
logger	unresolved	none
matrix	unresolved	none
minitest/autorun	unresolved	none
minitest/mock	unresolved	none
minitest/spec	unresolved	none
minitest/unit	unresolved	none
mkmf	yes	lib
monitor	yes	lib
mutex_m	unresolved	none
net/ftp	unresolved	none
net/http	yes	lib
net/https	yes	lib
net/imap	unresolved	none
net/pop	unresolved	none
net/protocol	yes	lib
net/smtp	unresolved	none
net/telnet	unresolved	none
nkf	unresolved	none
objspace	yes	ext
observer	unresolved	none
open-uri	yes	lib
open3	yes	lib
openssl	yes	ext
optparse	yes	lib
optparse/date	yes	lib
optparse/shellwords	yes	lib
optparse/time	yes	lib
optparse/uri	yes	lib
ostruct	unresolved	none
pathname	yes	lib
power_assert	unresolved	none
pp	yes	lib
prettyprint	yes	lib
prime	unresolved	none
prism	yes	lib
pstore	unresolved	none
psych	yes	ext
pty	yes	ext
racc/parser	unresolved	none
rake	unresolved	none
rake/classic_namespace	unresolved	none
rake/clean	unresolved	none
rake/gempackagetask	unresolved	none
rake/loaders/makefile	unresolved	none
rake/packagetask	unresolved	none
rake/rake_test_loader	unresolved	none
rake/rdoctask	unresolved	none
rake/runtest	unresolved	none
